,Unnamed: 0,team_name,team_score,first_qt,second_qt,third_qt,fourth_qt,ot
157,157,Ravens,24,0,3,7,14,0.0
158,158,Browns,17,3,0,0,14,
159,159,Texans,33,10,14,9,0,
160,160,Packers,10,0,10,0,0,
161,161,Vikings,23,0,14,3,6,
162,162,Lions,38,7,3,14,14,
163,163,Saints,52,17,14,14,7,
164,164,Dolphins,20,0,0,14,6,
165,165,Falcons,17,10,7,0,0,
166,166,Patriots,24,0,14,7,3,
167,167,Jets,17,7,7,0,3,
168,168,49ers,24,0,7,10,7,
169,169,Redskins,26,7,10,0,9,
170,170,Buccaneers,33,0,0,6,27,
171,171,Cardinals,38,14,10,7,7,
172,172,Rams,27,17,7,0,3,
173,173,Jaguars,17,14,0,3,0,
174,174,Steelers,19,2,10,0,7,
175,175,Chiefs,13,3,0,0,10,
176,176,Chargers,17,0,7,0,10,
177,177,Raiders,16,7,3,0,6,
178,178,Giants,23,3,14,3,3,
179,179,Broncos,10,0,3,0,7,
180,180,Colts,22,3,10,6,3,
181,181,Titans,36,6,3,6,21,
182,182,Chiefs,30,10,10,10,0,
183,183,Raiders,31,14,0,7,10,
184,184,Buccaneers,27,6,0,7,14,
185,185,Bills,30,3,7,7,13,
186,186,Ravens,16,3,3,3,7,
187,187,Vikings,24,3,6,9,6,
188,188,Jets,28,14,7,7,0,
189,189,Dolphins,31,7,7,0,17,
190,190,Cardinals,0,0,0,0,0,
191,191,Rams,33,3,20,3,7,
192,192,Jaguars,27,14,6,7,0,
193,193,Colts,0,0,0,0,0,
194,194,Saints,26,0,7,9,10,
195,195,Packers,17,7,7,0,3,
196,196,Panthers,3,0,3,0,0,
197,197,Bears,17,7,10,0,0,
198,198,Titans,12,3,3,0,3,3.0
199,199,Browns,9,0,3,3,3,0.0
200,200,Cowboys,40,14,6,13,7,
201,201,49ers,10,3,0,0,7,
202,202,Broncos,0,0,0,0,0,
203,203,Chargers,21,7,7,0,7,
204,204,Bengals,14,7,7,0,0,
205,205,Steelers,29,7,13,6,3,
206,206,Seahawks,24,0,3,7,14,
207,207,Giants,7,0,7,0,0,
208,208,Falcons,7,0,0,0,7,
209,209,Patriots,23,0,17,3,3,
210,210,Redskins,24,3,7,7,7,
211,211,Eagles,34,0,17,7,10,
212,212,Dolphins,0,0,0,0,0,
213,213,Ravens,40,7,13,0,20,
214,214,Vikings,33,3,9,11,10,
215,215,Browns,16,6,7,3,0,
216,216,Falcons,25,7,6,3,9,
217,217,Jets,20,7,10,0,3,
218,218,Panthers,17,7,3,0,7,
219,219,Buccaneers,3,0,0,3,0,
220,220,49ers,10,0,0,7,3,
221,221,Eagles,33,3,14,10,6,
222,222,Bears,12,0,3,3,6,
223,223,Saints,20,7,7,0,6,
224,224,Chargers,13,7,0,0,6,
225,225,Patriots,21,0,15,3,3,
226,226,Raiders,14,7,0,0,7,
227,227,Bills,34,0,14,6,14,
228,228,Colts,23,0,13,7,3,
229,229,Bengals,24,3,7,7,7,
230,230,Texans,38,14,7,3,14,
231,231,Seahawks,41,14,7,6,14,
232,232,Cowboys,33,7,7,9,10,
233,233,Redskins,19,10,3,0,6,
234,234,Steelers,20,3,7,10,0,
235,235,Lions,15,3,9,0,3,
236,236,Broncos,19,0,3,10,6,
237,237,Chiefs,29,14,3,3,9,
238,238,Bills,21,0,7,0,14,
239,239,Jets,34,7,3,14,10,
240,240,Colts,20,7,3,7,3,
241,241,Texans,14,0,7,0,7,
242,242,Bengals,7,0,7,0,0,
243,243,Jaguars,23,3,10,3,7,
244,244,Buccaneers,10,0,3,0,7,
